ds,yhat,yhat_lower,yhat_upper
2010-02-05,28388.63714706782,20727.94008720418,35790.41716741205
2010-02-12,34503.08586014712,27118.64717684828,42088.37696340338
2010-02-19,33642.95205121712,26156.96803462581,41209.51513837707
2010-02-26,26403.91557712802,18894.396160959397,33996.32688129428
2010-03-05,17999.037097548506,10701.570767719677,25727.292460634835
2010-03-12,14886.366742765244,7151.765127329718,22228.94570005438
2010-03-19,19647.49331485518,12401.727674892265,26859.82893052481
2010-03-26,28768.390803230377,20639.387978115326,35923.599550724364
2010-04-02,35681.77295792968,28705.068839229192,43396.94623850668
2010-04-09,36268.58457635832,28036.826593469617,43871.656505706516
2010-04-16,31606.933177909166,23696.390486867636,39114.654797720345
2010-04-23,25816.931683709543,17584.370438231443,33566.32079331998
2010-04-30,21899.33764641066,13851.108062900392,29584.188961405052
2010-05-07,19923.185767159157,12531.80861444491,27210.605751747684
2010-05-14,18608.058721083777,10841.700003050835,26141.3684600905
2010-05-21,17551.938071759578,10177.321839264132,24123.94327983447
2010-05-28,17384.34583669003,9597.180989391532,25185.08824886842
2010-06-04,18283.64223315042,10359.183805269464,25738.448418938977
2010-06-11,19289.33625219159,11422.168029313269,26579.726719137077
2010-06-18,19385.330359015075,11331.248211655808,27005.40261515624
2010-06-25,18756.696054192238,11602.092384960877,26795.72701473037
2010-07-02,18445.1440006394,10857.188449713285,26326.087278004856
2010-07-09,18902.233368864534,11534.969893940262,26930.93840317955
2010-07-16,19439.592295976054,12071.591153972247,28199.54322882654
2010-07-23,19280.188739635978,11438.838037053294,27345.415030111522
2010-07-30,18681.66248573236,11439.315796313127,25992.723816014037
2010-08-06,18538.11356650706,11160.601497759162,26375.13941515918
2010-08-13,19047.58109194484,11673.378438181166,26209.72078054885
2010-08-20,19399.497339162626,12182.100053094526,27097.615687176713
2010-08-27,19013.573859784556,12015.090753758934,27087.34358914375
2010-09-03,18567.4159585838,10799.736194285435,26027.10692048574
2010-09-10,19171.79417641119,11618.956770804596,26501.33371526053
2010-09-17,20657.57486776666,13374.95540756407,28810.91856105365
2010-09-24,21496.702011206457,14381.267968814192,29107.561582312883
2010-10-01,20925.833438898615,12935.55169369589,28984.388971379933
2010-10-08,20616.310060139695,12969.250965234909,28832.220703988623
2010-10-15,23163.04873239756,15989.09998547855,30831.759632734203
2010-10-22,28497.90936601596,20831.117043114846,35971.0926823439
2010-10-29,32563.66508929677,25176.339597737067,40203.9036850855
2010-11-05,30741.952342923803,23595.879772103275,38333.740115785455
